ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-07-26T04:54:32+00:00,2026,87,8388,bs,NPB,승패,2,,야쿠르트 5,3 히로카프,07.24(금) 18:00,"1.61,1.94",홈승
2026-07-26T04:54:32+00:00,2026,87,8389,bs,NPB,승①패,3,승①패,야쿠르트 5,3 히로카프,07.24(금) 18:00,"2.37,2.80,2.70",홈승
2026-07-26T04:54:32+00:00,2026,87,8390,bs,NPB,핸디캡,2,H -2.5,야쿠르트 2.5,3 히로카프,07.24(금) 18:00,"3.30,1.20",핸디패
2026-07-26T04:54:32+00:00,2026,87,8391,bs,NPB,언더오버,2,U 7.5,야쿠르트,히로카프,07.24(금) 18:00,"1.75,1.77",오버
2026-07-26T04:54:32+00:00,2026,87,8392,bs,NPB,승패,2,,야쿠르트,히로카프,07.24(금) 18:00,"1.61,1.94",짝
2026-07-26T04:54:32+00:00,2026,87,8393,bs,NPB,승패,2,,주니치 3,2 요코베이,07.24(금) 18:00,"2.00,1.57",홈승
2026-07-26T04:54:32+00:00,2026,87,8394,bs,NPB,승①패,3,승①패,주니치 3,2 요코베이,07.24(금) 18:00,"3.45,2.60,2.11",①
2026-07-26T04:54:32+00:00,2026,87,8395,bs,NPB,핸디캡,2,H +2.5,주니치 5.5,2 요코베이,07.24(금) 18:00,"1.26,2.92",핸디승
2026-07-26T04:54:32+00:00,2026,87,8396,bs,NPB,언더오버,2,U 6.5,주니치,요코베이,07.24(금) 18:00,"1.71,1.81",언더
2026-07-26T04:54:32+00:00,2026,87,8397,bs,NPB,승패,2,,주니치,요코베이,07.24(금) 18:00,"1.61,1.94",홀
2026-07-26T04:54:32+00:00,2026,87,8398,bs,NPB,승패,2,,한신 2,4 요미우리,07.24(금) 18:00,"1.47,2.19",홈패
2026-07-26T04:54:32+00:00,2026,87,8399,bs,NPB,승①패,3,승①패,한신 2,4 요미우리,07.24(금) 18:00,"2.22,2.55,3.25",홈패
2026-07-26T04:54:32+00:00,2026,87,8400,bs,NPB,핸디캡,2,H -2.5,한신 -0.5,4 요미우리,07.24(금) 18:00,"2.97,1.25",핸디패
2026-07-26T04:54:32+00:00,2026,87,8401,bs,NPB,언더오버,2,U 5.5,한신,요미우리,07.24(금) 18:00,"1.71,1.81",오버
2026-07-26T04:54:32+00:00,2026,87,8402,bs,NPB,승패,2,,한신,요미우리,07.24(금) 18:00,"1.62,1.93",짝
2026-07-26T04:54:32+00:00,2026,87,8403,bs,NPB,승패,2,,세이부 3,7 소프트뱅,07.24(금) 18:00,"2.07,1.53",홈패
2026-07-26T04:54:32+00:00,2026,87,8404,bs,NPB,승①패,3,승①패,세이부 3,7 소프트뱅,07.24(금) 18:00,"3.40,2.95,1.94",홈패
2026-07-26T04:54:32+00:00,2026,87,8405,bs,NPB,핸디캡,2,H +2.5,세이부 5.5,7 소프트뱅,07.24(금) 18:00,"1.31,2.68",핸디패
2026-07-26T04:54:32+00:00,2026,87,8406,bs,NPB,언더오버,2,U 7.5,세이부,소프트뱅,07.24(금) 18:00,"1.73,1.79",오버
2026-07-26T04:54:32+00:00,2026,87,8407,bs,NPB,승패,2,,세이부,소프트뱅,07.24(금) 18:00,"1.61,1.94",짝
